Testing for version ./zad2_static and option -O
 OPERATION  REAL_TIME  USER_TIME SYSTEM_TIME           ADDITIONAL_INFO
     count   0.373806   0.000035   0.000002                 12000.txt
      save   0.000023   0.000000   0.000000                 12000.txt
     count   0.438737   0.000040   0.000004                 13000.txt
      save   0.000118   0.000000   0.000000                 13000.txt
     count   0.506625   0.000049   0.000002                 14000.txt
      save   0.000113   0.000000   0.000000                 14000.txt
     count   0.578469   0.000054   0.000004                 15000.txt
      save   0.000024   0.000000   0.000000                 15000.txt
Testing for version ./zad2_shared and option -O3
 OPERATION  REAL_TIME  USER_TIME SYSTEM_TIME           ADDITIONAL_INFO
    create   0.000020   0.000000   0.000000               20 elements
     count   0.262723   0.000024   0.000002                 10000.txt
      save   0.000019   0.000000   0.000000                 10000.txt
     count   0.310821   0.000027   0.000004                 11000.txt
      save   0.000027   0.000000   0.000000                 11000.txt
     count   0.369864   0.000035   0.000002                 12000.txt
      save   0.000017   0.000000   0.000000                 12000.txt
     count   0.434045   0.000041   0.000001                 13000.txt
      save   0.000016   0.000000   0.000000                 13000.txt
     count   0.503625   0.000049   0.000002                 14000.txt
      save   0.000017   0.000000   0.000000                 14000.txt
     count   0.576566   0.000054   0.000004                 15000.txt
      save   0.000017   0.000000   0.000000                 15000.txt
    remove   0.000004   0.000000   0.000000                   index 0
    remove   0.000002   0.000000   0.000000                   index 1
    remove   0.000002   0.000000   0.000000                   index 2
    remove   0.000002   0.000000   0.000000                   index 3
    remove   0.000002   0.000000   0.000000                   index 4
     count   0.259594   0.000025   0.000001                 10000.txt
      save   0.000036   0.000000   0.000000                 10000.txt
     count   0.318407   0.000029   0.000003                 11000.txt
      save   0.000039   0.000000   0.000000                 11000.txt
     count   0.378933   0.000034   0.000003                 12000.txt
      save   0.000046   0.000000   0.000000                 12000.txt
     count   0.436829   0.000042   0.000002                 13000.txt
      save   0.000122   0.000000   0.000000                 13000.txt
     count   0.506437   0.000046   0.000005                 14000.txt
      save   0.000090   0.000000   0.000000                 14000.txt
     count   0.587299   0.000056   0.000003                 15000.txt
      save   0.000123   0.000000   0.000000                 15000.txt
Testing for version ./zad2_dynamic and option -O3
 OPERATION  REAL_TIME  USER_TIME SYSTEM_TIME           ADDITIONAL_INFO
    create   0.000027   0.000000   0.000000               20 elements
     count   0.262456   0.000026   0.000000                 10000.txt
      save   0.000020   0.000000   0.000000                 10000.txt
     count   0.310717   0.000029   0.000001                 11000.txt
      save   0.000026   0.000000   0.000000                 11000.txt
     count   0.370275   0.000033   0.000004                 12000.txt
      save   0.000017   0.000000   0.000000                 12000.txt
     count   0.434562   0.000042   0.000002                 13000.txt
      save   0.000017   0.000000   0.000000                 13000.txt
     count   0.504410   0.000047   0.000003                 14000.txt
      save   0.000017   0.000001   0.000000                 14000.txt
     count   0.579291   0.000053   0.000004                 15000.txt
      save   0.000018   0.000000   0.000000                 15000.txt
    remove   0.000005   0.000000   0.000000                   index 0
    remove   0.000002   0.000000   0.000000                   index 1
    remove   0.000001   0.000000   0.000000                   index 2
    remove   0.000002   0.000000   0.000000                   index 3
    remove   0.000002   0.000000   0.000000                   index 4
     count   0.259074   0.000023   0.000003                 10000.txt
      save   0.000064   0.000000   0.000000                 10000.txt
     count   0.319626   0.000029   0.000003                 11000.txt
      save   0.000024   0.000000   0.000000                 11000.txt
     count   0.374128   0.000035   0.000003                 12000.txt
      save   0.000061   0.000000   0.000000                 12000.txt
     count   0.443174   0.000041   0.000003                 13000.txt
      save   0.000058   0.000000   0.000000                 13000.txt
     count   0.513304   0.000047   0.000005                 14000.txt
      save   0.000056   0.000000   0.000000                 14000.txt
     count   0.586384   0.000052   0.000006                 15000.txt
      save   0.000060   0.000000   0.000000                 15000.txt
Testing for version ./zad2_static and option -O0
 OPERATION  REAL_TIME  USER_TIME SYSTEM_TIME           ADDITIONAL_INFO
    create   0.000020   0.000000   0.000000               20 elements
     count   0.468179   0.000043   0.000003                 10000.txt
      save   0.000017   0.000000   0.000000                 10000.txt
     count   0.567350   0.000056   0.000001                 11000.txt
      save   0.000027   0.000000   0.000000                 11000.txt
     count   0.674994   0.000066   0.000001                 12000.txt
      save   0.000017   0.000000   0.000000                 12000.txt
     count   0.792030   0.000074   0.000005                 13000.txt
      save   0.000017   0.000000   0.000000                 13000.txt
     count   0.917843   0.000090   0.000002                 14000.txt
      save   0.000018   0.000000   0.000000                 14000.txt
     count   1.054218   0.000103   0.000003                 15000.txt
      save   0.000018   0.000000   0.000000                 15000.txt
    remove   0.000004   0.000000   0.000000                   index 0
    remove   0.000002   0.000000   0.000000                   index 1
    remove   0.000001   0.000000   0.000000                   index 2
    remove   0.000002   0.000000   0.000000                   index 3
    remove   0.000001   0.000000   0.000000                   index 4
     count   0.470488   0.000043   0.000004                 10000.txt
      save   0.000036   0.000000   0.000000                 10000.txt
